full_name,email,phone,firm,website,city,state,zip_code,message,practice_areas
"Toon Law Firm","contact@toonlawfirm.com","+1 918-477-7884","Toon Law Firm","http://www.toonlawfirm.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Richardson Richardson Boudreaux Injury and Accident Attorneys - Tulsa Office","contact@richardsonlawfirmpc.com","+1 918-992-4306","Richardson Richardson Boudreaux Injury and Accident Attorneys - Tulsa Office","https://www.richardsonlawfirmpc.com/?utm_source=gbp&utm_medium=organic","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Tracy Tiernan","contact@oklawguy.com","+1 918-587-7377","Tracy Tiernan","https://www.oklawguy.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
""Edward J Lutz","","",""Edward J Lutz","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Attorney At Law:" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
"Colbert Cooper Hill Attorneys","contact@getcolbert.com","+1 918-585-1655","Colbert Cooper Hill Attorneys","https://www.getcolbert.com/?utm_source=gmb&utm_medium=organic&utm_campaign=tulsa-gmb","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Baillie Law Firm","contact@baillielawfirmok.com","+1 918-771-2694","Baillie Law Firm","https://www.baillielawfirmok.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Edwards & Patterson Personal Injury Law Firm - Tulsa","contact@edwardspattersonlaw.com","+1 918-719-2251","Edwards & Patterson Personal Injury Law Firm - Tulsa","https://edwardspattersonlaw.com/?utm_source=GBP+Tulsa","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Larby & Associates","contact@tulsalegalfirm.com","+1 918-796-5780","Larby & Associates","https://www.tulsalegalfirm.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Mark Cagle","contact@tulsadefender.com","+1 918-381-0020","Mark Cagle","http://tulsadefender.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Norwood.Law","contact@norwoodlegal.com","+1 918-582-6464","Norwood.Law","https://www.norwoodlegal.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
""Stephen W. Lee","","918",""Stephen W. Lee","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Attorney at Law" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
""Hanson & Hanson Law Firm","","",""Hanson & Hanson Law Firm","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  PLLC" - Lead Score: accounting;finance;lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
""Aaron Bruner","","",""Aaron Bruner","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Attorney at Law" - Lead Score: finance;lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
""Martin","","",""Martin"," Jackson","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Jean - Lead Score: ","attorney, lawyer, legal services"
""Wesley Ray Thompson","","",""Wesley Ray Thompson","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Attorney at Law" - Lead Score: finance;lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
"Henson Law Firm","contact@myoklahomadefenselawyer.com","+1 918-551-8995","Henson Law Firm","https://myoklahomadefenselawyer.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
""Joseph Norwood","","-",""Joseph Norwood","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Attorney" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
""Rode Law Firm","","-2035",""Rode Law Firm","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  PLLC" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
"Hansen Dirani & Associates PLLC","contact@callhansen.com","+1 918-583-0700","Hansen Dirani & Associates PLLC","https://callhansen.com/?utm_source=google-local&utm_medium=organic&utm_campaign=2121","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Elias & Elias Attorneys at Law","contact@eliasandelias.com","+1 918-749-8400","Elias & Elias Attorneys at Law","http://www.eliasandelias.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
""Charles Bryan Alred","","",""Charles Bryan Alred","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  PC" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
"Slaughter Law","","+1 918-282-5945","Slaughter Law","","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 50","attorney, lawyer, legal services"
"Oklahoma Attorney Resources","contact@oklahomaalternativeresources.org","+1 918-742-8883","Oklahoma Attorney Resources","https://www.oklahomaalternativeresources.org/contact","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Chris Knight Attorney At Law","contact@knightlawfirm.net","+1 918-496-1200","Chris Knight Attorney At Law","https://www.knightlawfirm.net/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 45","attorney, lawyer, legal services"
""Bradley & Loggin","","",""Bradley & Loggin","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  PLLC" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
"Biby Law Firm Injury and Accident Lawyers","contact@bibylaw.com","+1 918-248-9159","Biby Law Firm Injury and Accident Lawyers","https://www.bibylaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-denver","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Tulsa DUI Guy","contact@tulsaduiguy.com","+1 918-582-2520","Tulsa DUI Guy","http://www.tulsaduiguy.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
""Jay K. Ramey","","",""Jay K. Ramey","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Attorney at Law" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
""Matt A. Melone","","",""Matt A. Melone","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Attorney" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
"Parrish Law Group","contact@parrishlg.com","+1 918-398-4040","Parrish Law Group","https://parrishlg.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Garrett Law","contact@garrett.legal","+1 888-658-8892","Garrett Law","https://www.garrett.legal/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Littleton Legal PLLC","contact@littletonlegal.com","+1 918-608-1836","Littleton Legal PLLC","http://www.littletonlegal.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Graves McLain Injury Lawyers","contact@gravesmclain.com","+1 918-359-6600","Graves McLain Injury Lawyers","https://www.gravesmclain.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Paul E. (Trip) Swain PLC","contact@swainlaw.com","+1 918-599-0100","Paul E. (Trip) Swain PLC","http://www.swainlaw.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
""Hensley and Associates","","",""Hensley and Associates","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  PLLC" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
"ASH | LAW - Social Security Attorney","contact@ash.law","+1 918-599-0001","ASH | LAW - Social Security Attorney","http://ash.law/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"222 Injury Lawyers","contact@222injury.com","+1 918-731-2851","222 Injury Lawyers","https://www.222injury.com/?utm_campaign=gmb&utm_content=listing&utm_medium=organic&utm_source=gmb","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
""Parsons","","",""Parsons"," LLC"","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Graham & Day - Lead Score: ","attorney, lawyer, legal services"
"Lundy Law Firm PLLC","contact@lundylawfirm.com","","Lundy Law Firm PLLC","http://www.lundylawfirm.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 50","attorney, lawyer, legal services"
""Clifford N. Ribner","","",""Clifford N. Ribner","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Attorney" - Lead Score: accounting;finance;lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
"Knight Injury & Car Accident Lawyers Tulsa","contact@knightlawfirm.net","+1 918-496-1200","Knight Injury & Car Accident Lawyers Tulsa","https://knightlawfirm.net/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
"Robert J. Stubblefield Attorney","","+1 918-747-8033","Robert J. Stubblefield Attorney","","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 50","attorney, lawyer, legal services"
""Brad K. Cunningham","","",""Brad K. Cunningham","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Family Law Attorney" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
""Keaton A. Taylor","","",""Keaton A. Taylor","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Attorney at Law" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
"Cale Law Office of Tulsa Criminal Defense","contact@calelawoffice.com","+1 918-277-4800","Cale Law Office of Tulsa Criminal Defense","http://calelawoffice.com/","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical: local_services - Lead Score: 60","attorney, lawyer, legal services"
""Ben Fu","","",""Ben Fu","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Lawyer" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
""Justice First Legal","","",""Justice First Legal","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  PLLC" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
""Winters & King","","",""Winters & King","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Inc." - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
""Welsh & McGough","","",""Welsh & McGough","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  PLLC" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
""Swab Legal Services P.C.","","",""Swab Legal Services P.C.","local_services","Tulsa","OK","74101","Generated from leadgen campaign: Tulsa Attorneys Real API - Vertical:  Attorney T. Brett Swab" - Lead Score: lawyer;point_of_interest;establishment","attorney, lawyer, legal services"
